OID_,World Port Index Number,Region Name,Main Port Name,Alternate Port Name,UN/LOCODE,Country Code,World Water Body,Latitude,Longitude
21,59550,Philippine Islands -- 57960,Margosatubig, , ,Philippines,Celebes Sea; North Pacific Ocean,7.58,123.17
22,45635,Algeria -- 45470,Arzew El Djedid, , ,Algeria,Mediterranean Sea; North Atlantic Ocean,35.82,-0.25
23,45822,Senegal -- 45817,Karabane,Carabane, ,Senegal,North Atlantic Ocean,12.57,-16.67
24,14175,Chile -- 14070,Caleta Mina Elena,Mina Elena, ,Chile,South Pacific Ocean,-52.68,-71.90
25,6970,United States E Coast -- 6585,Monhegan, , ,United States,North Atlantic Ocean,43.77,-69.32
26,6710,United States E Coast -- 6585,Northeast Harbor, , ,United States,North Atlantic Ocean,44.30,-68.28
27,6800,United States E Coast -- 6585,Bucks Harbor,South Brooksville, ,United States,North Atlantic Ocean,44.33,-68.73
28,6830,United States E Coast -- 6585,Matinicus, , ,United States,North Atlantic Ocean,43.87,-68.88
29,49460,India East Coast -- 49310,Machilipatnam, , ,India,Bay of Bengal; Indian Ocean,16.15,81.17
30,49875,Malaysia -- 49820,Malong Marine Terminal, , ,Malaysia,South China Sea; North Pacific Ocean,4.63,104.82
31,63090,Antarctica -- 63060,Admiralty Bay, , ,Antarctica,Bransfield Strait; Drake Passage; South Atlantic Ocean,-62.08,-58.42
32,63110,Antarctica -- 63060,Melchior Harbor, , ,Antarctica,South Pacific Ocean,-64.32,-63.00
33,7900,United States E Coast -- 6585,Grasselli, , ,United States,North Atlantic Ocean,40.62,-74.20
34,44807,Italy -- 40345,Aksaz Limani, , ,Turkey,Mediterranean Sea; North Atlantic Ocean,36.83,28.38
35,46239,Nigeria -- 46120,Egina Oil Terminal, , ,Nigeria,Gulf of Guinea; North Atlantic Ocean,3.07,6.70
36,47625,Madagascar -- 47350,Antsohim Bondrona, , ,Madagascar,Mozambique Channel; Indian Ocean,-13.08,48.83
37,42180,Greece East Coast -- 42010,Ayios Nikolaos,Arapis, ,Greece,Aegean Sea; Mediterranean Sea; North Atlantic Ocean,37.98,23.53
38,43384,Turkey Europe -- 43325,Borusan Fertilizer Jetty, , ,Turkey,Sea of Marmara; Mediterranean Sea; North Atlantic Ocean,40.42,29.10
39,63070,Antarctica -- 63060,Ellefsen Harbor, , ,Antarctica,Scotia Sea; South Atlantic Ocean,-60.73,-45.03
40,63120,Antarctica -- 63060,Andersen Harbor, , ,Antarctica,South Pacific Ocean,-64.32,-62.93
41,11360,St Martin -- 11355,Baie Du Marigot, , ,France,Caribbean Sea; North Atlantic Ocean,18.07,-63.08
42,11372,St Martin -- 11355,Coles Bay Oil Terminal, , ,Sint Maarten,Caribbean Sea; North Atlantic Ocean,18.02,-63.08
43,48057,Egypt Red Sea -- 47950,Zafarana Terminal, , ,Egypt,Gulf of Suez; Red Sea; Indian Ocean,29.17,32.68
44,60205,China Continued -- 59850,Suizhang Gang, , ,China,Bo Hai; Yellow Sea; North Pacific Ocean,40.07,121.05
45,49685,Burma (Myanmar) -- 49610,Yetagun Marine Terminal, , ,Burma,Andaman Sea; Indian Ocean,13.05,96.85
46,47989,Egypt Red Sea -- 47950,Zeit Bay Lpg Terminal, , ,Egypt,Gulf of Suez; Red Sea; Indian Ocean,27.80,33.57
47,51800,Indonesia - Borneo -- 51760,Tanjungredeb,Tandjung Redeb, ,Indonesia,Celebes Sea; North Pacific Ocean,2.15,117.48
48,59575,Philippine Islands -- 57960,Santa Clara, , ,Philippines,Celebes Sea; North Pacific Ocean,7.78,122.68
49,11048,Dominican Republic -- 10950,Punta Nizao Oil Terminal, , ,Dominican Republic,Caribbean Sea; North Atlantic Ocean,18.20,-70.20
50,57490,Cambodia -- 57478,Phsar Ream,Ream, ,Cambodia,Gulf of Thailand; South China Sea; North Pacific Ocean,10.50,103.60
51,50932,Jawa -- 50920,Tanjung Gerem, , ,Indonesia,"Indian Ocean, Java Sea; South Pacific Ocean",-5.97,105.98
52,48341,Saudi Arabia Continued -- 48330,Ras Al Ghar, , ,Saudi Arabia,Persian Gulf; Indian Ocean,26.90,49.87
53,7890,United States E Coast -- 6585,Port Socony, , ,United States,North Atlantic Ocean,40.55,-74.25
54,11005,Dominican Republic -- 10950,Puerto Botado, , ,Dominican Republic,North Atlantic Ocean,19.20,-69.45
55,63100,Antarctica -- 63060,Port Lockroy, , ,Antarctica,South Pacific Ocean,-64.82,-63.50
56,51500,Kepulauan Anambas -- 51480,Tarempah, , ,Indonesia,South China Sea; North Pacific Ocean,3.22,106.22
57,52440,Kepulauan Sangihe -- 52400,Tahuna,Taroena; Tohoena, ,Indonesia,Celebes Sea; North Pacific Ocean,3.62,125.48
58,63080,Antarctica -- 63060,Scotia Bay, , ,Antarctica,Scotia Sea; South Atlantic Ocean,-60.75,-44.72
59,47690,Reunion -- 47670,Port Est, , ,Reunion,Indian Ocean,-20.93,55.32
60,42790,Aegean Islands -- 42640,Vrakhonisis Kallonis,Kalloni, ,Greece,Aegean Sea; Mediterranean Sea; North Atlantic Ocean,39.08,26.08
61,45515,Algeria -- 45470,Port Methanier, , ,Algeria,Mediterranean Sea; North Atlantic Ocean,36.88,6.95
62,9665,Honduras East Coast -- 9630,Puerto Este,East Harbor, ,Honduras,Caribbean Sea; North Atlantic Ocean,16.08,-86.90
63,35835,France NW Coast -- 35720,Port Du Havre-Antifer, , ,France,English Channel; North Atlantic Ocean,49.65,0.15
64,7020,United States E Coast -- 6585,Pemaquid Beach, , ,United States,North Atlantic Ocean,43.87,-69.53
65,40750,Italy East Coast -- 40390,Porto Di Malamocco, , ,Italy,Adriatic Sea; Mediterranean Sea; North Atlantic Ocean,45.33,12.32
66,46544,Angola -- 46540,Psvm Terminal, , ,Angola,South Atlantic Ocean,-6.25,10.73
67,47695,Reunion -- 47670,Port Ouest, , ,Reunion,Indian Ocean,-20.93,55.28
68,9230,US Gulf Coast -- 8650,Sinco, , ,United States,Gulf of Mexico; North Atlantic Ocean,29.72,-95.23
69,14020,South Georgia -- 14010,Prince Olav Harbor, , ,South Georgia and South Sandwich Islands,South Atlantic Ocean,-54.03,-37.15
70,7070,United States E Coast -- 6585,Robinhood,Riggsville, ,United States,North Atlantic Ocean,43.85,-69.73
71,6980,United States E Coast -- 6585,Port Clyde, , ,United States,North Atlantic Ocean,43.92,-69.25
72,42440,Greece East Coast -- 42010,Stilis, , ,Greece,Aegean Sea; Mediterranean Sea; North Atlantic Ocean,38.92,22.62
73,14040,South Georgia -- 14010,Stromness Harbor, , ,South Georgia and South Sandwich Islands,South Atlantic Ocean,-54.15,-36.70
74,45845,Guinea -- 45842,Victoria, , ,Guinea,North Atlantic Ocean,10.82,-14.57
75,7000,United States E Coast -- 6585,Friendship, ,US FSP,United States,North Atlantic Ocean,43.97,-69.33
76,6880,United States E Coast -- 6585,Bucksport, ,US BUP,United States,North Atlantic Ocean,44.57,-68.78
77,9240,US Gulf Coast -- 8650,Houston, ,US HOU,United States,Gulf of Mexico; North Atlantic Ocean,29.75,-95.28
78,12772,Brazil SE Coast -- 12700,Aratu, ,BR ARB,Brazil,South Atlantic Ocean,-12.78,-38.50
79,10010,Bahama Islands -- 9980,Matthew Town, ,BS MAT,The Bahamas,North Atlantic Ocean,20.95,-73.68
80,7190,United States E Coast -- 6585,Newburyport, ,US ZMP,United States,North Atlantic Ocean,42.82,-70.87
81,10430,Cuba South Coast -- 10310,Ceiba Hueca, ,CU CEI,Cuba,Caribbean Sea; North Atlantic Ocean,20.22,-77.32
82,60250,China Continued -- 59850,Dalian,Dairen; Dalian; Dalian Wan; Ta Cien; Ta Lien,CN DAL,China,Yellow Sea; North Pacific Ocean,38.92,121.67
83,48076,Israel -- 48075,Elat,Eilat; Elath,IL ETH,Israel,Gulf of Aqaba; Red Sea; Indian Ocean,29.55,34.95
84,47990,Egypt Red Sea -- 47950,El Ghardaqa,Hurghada,EG HRG,Egypt,Gulf of Suez; Red Sea; Indian Ocean,27.22,33.85
85,47630,Madagascar -- 47350,Antsiranana,Antsirana; Diego Suarez; Port De La Nievre; Port Nievre,MG DIE,Madagascar,Indian Ocean,-12.27,49.28
86,47130,Somalia -- 47120,Kismaayo,Chisimaio; Kisimayu,SO KMU,Somalia,Indian Ocean,-0.37,42.55
87,47100,Kenya -- 47090,Mombasa,Mvita,KE MBA,Kenya,Indian Ocean,-4.07,39.67
88,45820,Senegal -- 45817,Dakar, ,SN DKR,Senegal,North Atlantic Ocean,14.68,-17.43
89,48465,Iran -- 48410,Kharg Island Oil Terminal,Jazireh-ye Khark,IR KHK,Iran,Persian Gulf; Indian Ocean,29.23,50.33
90,48450,Iran -- 48410,Bandar-E Mahshahr, ,IR MRX,Iran,Persian Gulf; Indian Ocean,30.47,49.18
91,41820,Greece West Coast -- 41710,Itea,Salona,GR ITA,Greece,Ionian Sea; Mediterranean Sea; North Atlantic Ocean,38.43,22.42
92,41550,Croatia -- 40877,Dubrovnik,Ragusa,HR DBV,Croatia,Adriatic Sea; Mediterranean Sea; North Atlantic Ocean,42.67,18.08
93,39590,Italy West Coast -- 39330,Livorno,Leghorn,IT LIV,Italy,Ligurian Sea; Mediterranean Sea; North Atlantic Ocean,43.54,10.29
94,39025,Monaco -- 39020,Monaco, ,MC MON,Monaco,Mediterranean Sea; North Atlantic Ocean,43.73,7.42
95,37770,Spain N Coast -- 37270,La Coruna, ,ES LCG,Spain,North Atlantic Ocean,43.37,-8.40
96,37120,France West Coast -- 36450,Le Verdon, ,FR LVE,France,Bay of Biscay; North Atlantic Ocean,45.55,-1.05
97,42345,Greece East Coast -- 42010,Astakos, ,GR AST,Greece,Ionian Sea; Mediterranean Sea; North Atlantic Ocean,38.48,21.10
98,41800,Greece West Coast -- 41710,Mesolongion, ,GR MEL,Greece,Ionian Sea; Mediterranean Sea; North Atlantic Ocean,38.37,21.42
99,45350,Libya -- 45200,Abu Khammash, ,LY ABK,Libya,Mediterranean Sea; North Atlantic Ocean,33.07,11.82
100,45819,Senegal -- 45817,M Bao Oil Terminal, ,SN MBA,Senegal,North Atlantic Ocean,14.72,-17.40
101,46237,Nigeria -- 46120,Agbami Oil Terminal, ,NG ABM,Nigeria,Gulf of Guinea; North Atlantic Ocean,3.47,5.57
102,42890,Kikladhes -- 42870,Andros,Kastron,GR AND,Greece,Aegean Sea; Mediterranean Sea; North Atlantic Ocean,37.83,24.95
103,37960,Portugal -- 37930,Oporto,Douro,PT DOU,Portugal,North Atlantic Ocean,41.15,-8.67
104,60240,China Continued -- 59850,Lushun,Port Arthur; Ryojun Ko,CN LSH,China,Yellow Sea; North Pacific Ocean,38.78,121.25
105,51501,Kepulauan Anambas -- 51480,Belanak Field Terminal, ,ID BNT,Indonesia,South China Sea; North Pacific Ocean,4.15,106.25
106,39820,Italy West Coast Cont -- 39730,Fiumicino,Rome,IT FCO,Italy,Tyrrhenian Sea; Mediterranean Sea; North Atlantic Ocean,41.77,12.21
107,46900,Mozambique -- 46860,Chinde, ,MZ INE,Mozambique,Mozambique Channel; Indian Ocean,-18.57,36.50
108,47420,Madagascar -- 47350,Maintirano, ,MG MXT,Madagascar,Mozambique Channel; Indian Ocean,-18.07,44.02
109,47590,Madagascar -- 47350,Maroantsetra, ,MG WMN,Madagascar,Indian Ocean,-15.45,49.82
110,52240,Sulawesi -- 51970,Kendari,Kendari Bay,ID KDI,Indonesia,Banda Sea; South Pacific Ocean,-3.97,122.58
111,61360,Japan -- 61100,Choshi,Tyosi,JP CHO,Japan,North Pacific Ocean,35.73,140.85
112,61555,Japan -- 61100,Amagasaki, ,JP AMA,Japan,Sea of Japan; North Pacific Ocean,34.70,135.38
113,44965,Cyprus -- 44890,Dhekelia, ,CY DHK,Cyprus,Mediterranean Sea; North Atlantic Ocean,34.97,33.72
114,45100,Israel -- 45060,Ashdod, ,IL ASH,Israel,Mediterranean Sea; North Atlantic Ocean,31.82,34.65
115,45620,Algeria -- 45470,Mostaganem, ,DZ MOS,Algeria,Mediterranean Sea; North Atlantic Ocean,35.93,0.08
116,46552,Angola -- 46540,Greater Plutonio Terminal, ,AO GPO,Angola,South Atlantic Ocean,-7.83,12.10
117,49780,Thailand -- 49760,Krabi, ,TH KRV,Thailand,Andaman Sea; Indian Ocean,8.07,98.92
118,50180,Indonesia -- 50020,Blinyu,Belinjoe,ID BLI,Indonesia,Natuna Sea; South China Sea; South Pacific Ocean,-1.63,105.78
119,44808,Turkey Asia -- 44360,Antalya Offshore Terminal, ,TR UZE,Turkey,Mediterranean Sea; North Atlantic Ocean,36.82,30.60
120,44820,Turkey Asia -- 44360,Antalya,Adalia,TR AYT,Turkey,Mediterranean Sea; North Atlantic Ocean,36.83,30.62
121,45630,Algeria -- 45470,Arzew, ,DZ AZW,Algeria,Mediterranean Sea; North Atlantic Ocean,35.85,-0.30
122,46286,Cameroon -- 46250,Moudi Marine Terminal, ,CM MOU,Cameroon,Gulf of Guinea; North Atlantic Ocean,4.12,8.48
123,57410,Malaysia -- 57400,Kuantan New Port, ,MY KUA,Malaysia,South China Sea; North Pacific Ocean,3.97,103.43
124,42434,Greece East Coast -- 42010,Achladi, ,GR ACL,Greece,Aegean Sea; Mediterranean Sea; North Atlantic Ocean,38.90,22.82
125,38083,Acores -- 38060,Lajes, ,PT LDP,Portugal,North Atlantic Ocean,38.40,-28.27
126,38440,Spain SE Coast -- 38340,Alicante, ,ES ALC,Spain,Mediterranean Sea; North Atlantic Ocean,38.33,-0.48
127,43130,Kriti -- 43080,Iraklion,Candia; Megalo Kastron,GR HER,Greece,Aegean Sea; Mediterranean Sea; North Atlantic Ocean,35.35,25.15
128,12117,Venezuela -- 11950,Venterminals, , ,Venezuela,Caribbean Sea; North Atlantic Ocean,10.48,-68.03
129,8280,United States E Coast -- 6585,Norfolk, ,US ORF,United States,North Atlantic Ocean,36.85,-76.30
130,62520,Nansei Shoto -- 62470,Ishigaki, ,JP ISG,Japan,East China Sea; North Pacific Ocean,24.33,124.17
131,7460,United States E Coast -- 6585,Greenport, ,US GP4,United States,North Atlantic Ocean,41.10,-72.37
132,39000,France South Coast -- 38710,Villefranche, ,FR VSS,France,Mediterranean Sea; North Atlantic Ocean,43.70,7.32
133,6910,United States E Coast -- 6585,Searsport, ,US SRP,United States,North Atlantic Ocean,44.45,-68.92
134,39261,Sardegna -- 39130,Porto Di Oristano, ,IT QOS,Italy,Mediterranean Sea; North Atlantic Ocean,39.87,8.55
135,38870,France South Coast -- 38710,Toulon, ,FR TLN,France,Mediterranean Sea; North Atlantic Ocean,43.10,5.92
136,15445,Panama West Coast -- 15380,Pedregal, ,PA PED,Panama,North Pacific Ocean,8.35,-82.43
137,38095,Acores -- 38060,Praia De Vitoria, ,PT PRV,Portugal,North Atlantic Ocean,38.72,-27.05
138,40620,Italy East Coast -- 40390,Ortona, ,IT OTN,Italy,Adriatic Sea; Mediterranean Sea; North Atlantic Ocean,42.35,14.42
139,6950,United States E Coast -- 6585,Rockport, ,US RP3,United States,North Atlantic Ocean,44.18,-69.07
140,38050,Portugal -- 37930,Vila Real De S Antonio, ,PT VNC,Portugal,North Atlantic Ocean,37.18,-7.40
141,39215,Sardegna -- 39130,Sarroch Oil Terminal,Porto Fox,IT PFX,Italy,Mediterranean Sea; North Atlantic Ocean,39.08,9.03
142,15915,Mexico West Coast -- 15700,San Juan De La Costa, ,MX SJC,Mexico,Gulf of California; North Pacific Ocean,24.40,-110.70
143,39220,Sardegna -- 39130,Porto Ponte Romano,Ponte Romano,IT PPF,Italy,Mediterranean Sea; North Atlantic Ocean,39.05,8.47
144,6680,United States E Coast -- 6585,Winter Harbor, ,US WH5,United States,North Atlantic Ocean,44.38,-68.08
145,38100,Acores -- 38060,Ponta Delgada, ,PT PDL,Portugal,North Atlantic Ocean,37.73,-25.67
146,40470,Italy East Coast -- 40390,Taranto, ,IT TAR,Italy,Golfo di Taranto; Mediterranean Sea; North Atlantic Ocean,40.47,17.20
147,8030,United States E Coast -- 6585,New Castle, ,US NSX,United States,North Atlantic Ocean,39.65,-75.57
148,45755, ,Tanger,Tangier,MA TNG,Morocco,Strait of Gibraltar; North Atlantic Ocean,35.78,-5.82
149,46925,Mozambique -- 46860,Pebane, ,MZ PEB,Mozambique,Mozambique Channel; Indian Ocean,-17.27,38.15
150,42570,Greece East Coast -- 42010,Stratoni, ,GR STI,Greece,Aegean Sea; Mediterranean Sea; North Atlantic Ocean,40.52,23.83
151,42550,Greece East Coast -- 42010,Yerakini,Gerakani,GR YER,Greece,Aegean Sea; Mediterranean Sea; North Atlantic Ocean,40.27,23.47
152,42780,Aegean Islands -- 42640,Plomarion,Potamos,GR PLM,Greece,Aegean Sea; Mediterranean Sea; North Atlantic Ocean,38.98,26.37
153,41410,Croatia -- 40877,Ploce,Kardelievo; Kardeljevo,HR PLE,Croatia,Adriatic Sea; Mediterranean Sea; North Atlantic Ocean,43.05,17.43
154,42460,Greece East Coast -- 42010,Tsingeli, ,GR TSI,Greece,Aegean Sea; Mediterranean Sea; North Atlantic Ocean,39.17,22.85
155,46375,Sao Tome and Principe -- 46370,Santo Antonio, ,ST SAA,Sao Tome and Principe,Gulf of Guinea; North Atlantic Ocean,1.65,7.45
156,46063,Ghana -- 46010,Saltpond, ,GH SPD,Ghana,Gulf of Guinea; North Atlantic Ocean,5.20,-1.05
157,62175,Japan -- 61100,Saiki Ko, ,JP SAE,Japan,East China Sea; North Pacific Ocean,32.97,131.93
158,59580,Philippine Islands -- 57960,Zamboanga, ,PH ZAM,Philippines,Celebes Sea; North Pacific Ocean,6.90,122.07
159,48020,Egypt Red Sea -- 47950,Ras Gharib, ,EG RAG,Egypt,Gulf of Suez; Red Sea; Indian Ocean,28.35,33.10
160,59120,Philippine Islands -- 57960,Pulupandan, ,PH PUL,Philippines,Sulu Sea; North Pacific Ocean,10.52,122.80
161,8290,United States E Coast -- 6585,Portsmouth, ,US PTM,United States,North Atlantic Ocean,36.82,-76.30
162,52320,Sulawesi -- 51970,Ujung Pandang,Makassar,ID UPG,Indonesia,Makassar Strait; South Pacific Ocean,-5.13,119.40
163,8110,United States E Coast -- 6585,Philadelphia, ,US PHL,United States,North Atlantic Ocean,39.95,-75.13
164,50250,Indonesia -- 50020,Tanjungpandan,Tandjung Pandan,ID TJQ,Indonesia,Natuna Sea; South China Sea; South Pacific Ocean,-2.75,107.63
165,62010,Japan -- 61100,Uwajima Ko, ,JP UWA,Japan,Sea of Japan; North Pacific Ocean,33.22,132.57
166,8025,United States E Coast -- 6585,Salem Nj, ,US SEM,United States,North Atlantic Ocean,39.67,-75.48
167,16040,United States W Coast -- 16000,Isthmus Cove, , ,United States,North Pacific Ocean,33.45,-118.50
168,16310,United States W Coast -- 16000,Yerbabuena Island, , ,United States,North Pacific Ocean,37.82,-122.37
169,16140,United States W Coast -- 16000,Ventura, ,US VNT,United States,North Pacific Ocean,34.28,-119.28
170,16130,United States W Coast -- 16000,Prisoners, , ,United States,North Pacific Ocean,34.02,-119.68
171,9950,Bermuda Islands -- 9930,Ireland Island,Freeport,BM FPT,Bermuda,North Atlantic Ocean,32.32,-64.83
172,12890,Brazil SE Coast -- 12700,Macae,Macahe,BR MEA,Brazil,South Atlantic Ocean,-22.37,-41.77
173,12930,Brazil SE Coast -- 12700,Niteroi,Nictheroy,BR NTR,Brazil,South Atlantic Ocean,-22.88,-43.12
174,9995,Bahama Islands -- 9980,Clifton Pier, ,BS CLP,The Bahamas,North Atlantic Ocean,25.00,-77.55
175,46549,Angola -- 46540,Girassol Terminal, ,AO GIR,Angola,South Atlantic Ocean,-7.65,11.68
176,46551,Angola -- 46540,Dalia Terminal, ,AO DAL,Angola,South Atlantic Ocean,-7.68,11.77
177,12920,Brazil SE Coast -- 12700,Rio De Janeiro, ,BR RIO,Brazil,South Atlantic Ocean,-22.90,-43.17
178,63095,Antarctica -- 63060,Port Foster, ,AQ PFS,Antarctica,Bransfield Strait; Drake Passage; South Atlantic Ocean,-62.95,-60.63
179,57830,China -- 57815,Guangzhou,Canton; Kuaung Fhou,CN GGZ,China,South China Sea; North Pacific Ocean,23.12,113.23
180,45670,Algeria -- 45470,Ghazaouet,Nemours,DZ GHZ,Algeria,Mediterranean Sea; North Atlantic Ocean,35.10,-1.87
181,45570,Algeria -- 45470,Alger,Algiers,DZ ALG,Algeria,Mediterranean Sea; North Atlantic Ocean,36.77,3.07
182,45490,Algeria -- 45470,Annaba,Bona; Bone,DZ AAE,Algeria,Mediterranean Sea; North Atlantic Ocean,36.92,7.77
183,44970,Cyprus -- 44890,Famagusta, ,CY FMG,Cyprus,Mediterranean Sea; North Atlantic Ocean,35.12,33.93
184,44960,Cyprus -- 44890,Larnaca, ,CY LCA,Cyprus,Mediterranean Sea; North Atlantic Ocean,34.92,33.65
185,15480,Costa Rica West Coast -- 15470,Golfito, ,CR GLF,Costa Rica,North Pacific Ocean,8.63,-83.17
186,10500,Cuba South Coast -- 10310,Jucaro, ,CU JUC,Cuba,Caribbean Sea; North Atlantic Ocean,21.62,-78.85
187,45520,Algeria -- 45470,Collo, ,DZ COL,Algeria,Mediterranean Sea; North Atlantic Ocean,37.00,6.58
188,45525,Algeria -- 45470,Djen-Djen, ,DZ DJE,Algeria,Mediterranean Sea; North Atlantic Ocean,36.82,5.88
189,45530,Algeria -- 45470,Jijel,Djidjelli; Jijelli,DZ DJI,Algeria,Mediterranean Sea; North Atlantic Ocean,36.83,5.78
190,11908,Colombia North Coast -- 11860,El Bosque, ,CO EBQ,Colombia,Caribbean Sea; North Atlantic Ocean,10.40,-75.53
191,60170,China Continued -- 59850,Longkou Gang,Lungkow,CN LKU,China,Bo Hai; Yellow Sea; North Pacific Ocean,37.63,120.28
192,60215,China Continued -- 59850,Jinzhou Wan, ,CN JNZ,China,Bo Hai; Yellow Sea; North Pacific Ocean,40.75,121.10
193,44900,Cyprus -- 44890,Kyrenia, ,CY KYR,Cyprus,Mediterranean Sea; North Atlantic Ocean,35.35,33.33
194,10420,Cuba South Coast -- 10310,Media Luna, ,CU MEL,Cuba,Caribbean Sea; North Atlantic Ocean,20.15,-77.43
195,11905,Colombia North Coast -- 11860,Mamonal, ,CO MAM,Colombia,Caribbean Sea; North Atlantic Ocean,10.32,-75.52
196,45560,Algeria -- 45470,Dellys, ,DZ DEL,Algeria,Mediterranean Sea; North Atlantic Ocean,36.92,3.92
197,57822,China -- 57815,Huangpu, ,CN HUA,China,South China Sea; North Pacific Ocean,23.08,113.42
198,60210,China Continued -- 59850,Huludao Gang, ,CN HUD,China,Bo Hai; Yellow Sea; North Pacific Ocean,40.70,120.98
199,60230,China Continued -- 59850,Bayuquan, ,CN BYQ,China,Bo Hai; Yellow Sea; North Pacific Ocean,40.30,122.08
200,45510,Algeria -- 45470,Skikda,Phillippeville,DZ SKI,Algeria,Mediterranean Sea; North Atlantic Ocean,36.88,6.92
201,45610,Algeria -- 45470,Tenes, ,DZ TEN,Algeria,Mediterranean Sea; North Atlantic Ocean,36.53,1.32
202,11821,Curacao -- 11785,Sint Michelsbaai, ,CW SMB,Curacao,Caribbean Sea; North Atlantic Ocean,12.13,-69.02
203,45880,Cape Verde -- 45869,Porto Grande,Mindelo,CV GRA,Cabo Verde,North Atlantic Ocean,16.88,-25.00
204,48015,Egypt Red Sea -- 47950,Ras Shukhier,Aras Shukhayr,EG RSH,Egypt,Gulf of Suez; Red Sea; Indian Ocean,28.13,33.28
205,48025,Egypt Red Sea -- 47950,Ras Badran Oil Terminal,Ras Budran,EG RAB,Egypt,Gulf of Suez; Red Sea; Indian Ocean,28.95,33.17
206,60165,China Continued -- 59850,Penglai, ,CN PLI,China,Yellow Sea; North Pacific Ocean,37.82,120.83
207,48065,Egypt Red Sea -- 47950,Wadi Feiran, ,EG WAF,Egypt,Gulf of Suez; Red Sea; Indian Ocean,28.75,33.20
208,47988,Egypt Red Sea -- 47950,Sharm El Sheikh, ,EG SSH,Egypt,Red Sea; Indian Ocean,27.85,34.28
209,60193,China Continued -- 59850,Tangshan (Jingtang),Jingtang,CN TGS,China,Bo Hai; Yellow Sea; North Pacific Ocean,39.20,119.02
210,48053,Egypt Red Sea -- 47950,Ras Sudr, ,EG RSU,Egypt,Gulf of Suez; Red Sea; Indian Ocean,29.58,32.70
211,10520,Cuba South Coast -- 10310,Tunas De Zaza, ,CU TDZ,Cuba,Caribbean Sea; North Atlantic Ocean,21.63,-79.55
212,57816,China -- 57815,Sanya, ,CN SYA,China,Gulf of Tonkin; South China Sea; North Pacific Ocean,18.32,109.45
213,57817,China -- 57815,Yangpu, ,CN YPG,China,Gulf of Tonkin; South China Sea; North Pacific Ocean,19.73,109.18
214,60150,China Continued -- 59850,Weihai, ,CN WEG,China,Yellow Sea; North Pacific Ocean,37.50,122.10
215,11030,Dominican Republic -- 10950,San Pedro De Macoris, ,DO SPM,Dominican Republic,Caribbean Sea; North Atlantic Ocean,18.45,-69.32
216,45730, ,Ceuta, ,ES CEU,Spain,Strait of Gibraltar; North Atlantic Ocean,35.90,-5.32
217,38990,France South Coast -- 38710,Nice, ,FR NCE,France,Mediterranean Sea; North Atlantic Ocean,43.70,7.28
218,38775,France South Coast -- 38710,Fos, ,FR FOS,France,Gulf of Lion; Mediterranean Sea; North Atlantic Ocean,43.42,4.88
